pid,label,monster_type,artist,location,language,_date,current_location,source,marginalia_description,order,layout,collection,thumbnail,full,manifest
obj19,"Hybrids from Scholastic Miscellany (British Library Burney 275, fol. 166)",hybrid,Attributed to the Meliacin Master,France,Latin,1309 - 1316,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=8661,A detail of two hybrid creatures fighting with swords and shields.,18,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj19/full/1140,/0/default.jpg",/img/derivatives/iiif/obj19/manifest.json
obj20,"Hybrid from the 'Harley Hours' (British Library Harley 928, fol. 010)",hybrid,Unknown,England,"Latin, French",last quarter of the 13th century,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=37242,A detail of a grotesque hybrid.,19,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj20/full/1140,/0/default.jpg",/img/derivatives/iiif/obj20/manifest.json
obj3,"Serra from a Bestiary (British Library Sloane 3544, fol. 42v)",sea monster,Unknown,England,Latin,2nd or 3rd quarter of the 13th century,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=4478,"A detail of a serra chasing a boat, while the two men in the boat raise their hands in prayer.",2,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json
obj21,"Hybrids from a copy of 'De Amicitia' (Bodleian Library MS. Canon. Class. Lat. 221, fol. 001r)",hybrid,Unknown,Italy,Latin,end of the 14th century,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/6bba4bb6-a36e-4e9b-a4cc-dfbc03d8511e/surfaces/d1addacf-6d29-41b6-a4d2-94500c7cc5f5/,"At the top of the page sits a blue hybrid, with a human head and an animal-like body. At the bottom of the page, there is another hybrid, with a human body and animal-like legs.",20,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj21/full/1140,/0/default.jpg",/img/derivatives/iiif/obj21/manifest.json
obj22,"Hybrid from a copy of the 'Lancelot Cycle, Branch 1' (Bodleian Library MS. Douce 303, fol. 001r)",hybrid,Unknown,France,French,c. 1300,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/f4c1e542-14fd-42b5-ab07-8373df7f2304/surfaces/4b31841c-9c10-49c7-a62f-1bf6de76508a/,"A bottom-of-the-page detail of a man chasing a stag, which appears to be running towards a grotesque hybrid.",21,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj22/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj22/full/1140,/0/default.jpg",/img/derivatives/iiif/obj22/manifest.json
obj23,"Hybrids in a Benedictian Breviary (Bodleian Library MS. Canon. Liturg. 192, fol. 199r) ",hybrid,Unknown,France,Latin,c. 1350,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/8fce9171-9e21-4cc4-af5b-b14967e59ef4/surfaces/9a3e42d0-5a2d-49a2-b769-d04540e25c9a/,"At the bottom of the page are two hybrids. The hybrid on the left holds a disc that contains text from the Magnificat and Ave Maria. The hybrid on the right appears to be holding a serpent, which bears a striking resemblance to its own tails.",22,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj23/full/1140,/0/default.jpg",/img/derivatives/iiif/obj23/manifest.json
obj24,"Hybrids from a Psalter (Bodleian Library MS. Douce 5, fol. 019r)",hybrid,Unknown,Belgium,Latin,1320 - 1330,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/ffa96f42-fde8-4f82-93e5-0c645f7f1b94/surfaces/9caa0eab-4e03-4dad-ae11-5ee9cc82d98f/,"A bottom-of-the-page detail of two grotesque hybrids playing musical instruments. The hybrid on the left, whose body is entirely animalistic, appears to be playing a triangle. The hybrid on the right, who has a human head and torso, but the bottom half of a bird, plays a fiddle.",23,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj24/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj24/full/1140,/0/default.jpg",/img/derivatives/iiif/obj24/manifest.json
obj25,"Serra from a Bestiary (Bodleian Library MS. Laud Misc. 247, fol. 141v)",sea monster,Unknown,England,Latin,second quarter of the 12th century,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/0f92e132-f3a0-4b6c-848c-d71d800f61d6/surfaces/3f1e23e2-55a3-4201-9b6d-5bc9bc4d9bcf/,"A bottom-of-the-page detail of a serra, a fish-like monster with enormous wings, eating some fish.",24,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj25/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj25/full/1140,/0/default.jpg",/img/derivatives/iiif/obj25/manifest.json
obj26,"Phoenix from a Bestiary (Bodleian Library MS. Laud Misc. 247, fol. 144r)",phoenix,Unknown,England,Latin,second quarter of the 12th century,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/0f92e132-f3a0-4b6c-848c-d71d800f61d6/surfaces/35b20354-404d-43f6-bc76-fc7dd0b6f5db/,A bottom-of-the-page detail of a phoenix preening its wings.,25,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj26/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj26/full/1140,/0/default.jpg",/img/derivatives/iiif/obj26/manifest.json
obj27,"Dragon from a Bible (Bodleian Library MS. Canon. Bibl. Lat. 80, fol. 008v)",dragon,Unknown,Italy,Latin,second half of the 13th century,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/3858a9a0-195c-43ea-89e0-77136bf2b13b/surfaces/7f195c6e-7bfc-4896-88c4-66c4e638040f/,"A winged dragon sits at the bottom of the page, below the opening text to the Book of Genesis.",26,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj27/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj27/full/1140,/0/default.jpg",/img/derivatives/iiif/obj27/manifest.json
